unique_identifier,timestamp,price
ZEC-AUD,1557151524064277,6786
BTC-AUD,1557151524073272,552011
BTC-AUD,1557151524073273,552011
BTC-AUD,1557151524073274,552011
BTC-AUD,1557151524073274,552013
BTC-AUD,1557151524073275,552013
BTC-AUD,1557151524073276,552555
BTC-AUD,1557151524073276,552013
BTC-AUD,1557151524073277,552013
ZEC-AUD,1557151524725276,6786
LTC-AUD,1557151524750277,7762
BTC-AUD,1557151475026081,554252
LTC-AUD,1557151475464091,7659
BTC-AUD,1557151860078597,562144
LTC-AUD,1557151860206597,7666
LTC-AUD,1557151860206598,7671
BTC-AUD,1557151860229597,564982
LTC-AUD,1557151860243597,7671
ZEC-AUD,1557151860732605,6431
ZEC-AUD,1557151860844599,6431
ZEC-AUD,1557151860844600,6431
ZEC-AUD,1557151861159602,6431
ETH-AUD,1557151861581622,18578
LTC-AUD,1557151861739620,7420
ZEC-AUD,1557151861739621,6415
ETH-AUD,1557151862005603,18578
ETH-AUD,1557151862005603,18578
ZEC-AUD,1557151862036603,6415
LTC-AUD,1557151862056604,7420
LTC-AUD,1557151862056604,7420
ZEC-AUD,1557151862083615,6716
LTC-AUD,1557151862083622,7697
ZEC-AUD,1557151862168604,6716
ZEC-AUD,1557151862168604,6716
LTC-AUD,1557151862166605,7697
LTC-AUD,1557151862587616,7670
LTC-AUD,1557151862684606,7670
LTC-AUD,1557151862684606,7670
ETH-AUD,1557151862748614,18449
ETH-AUD,1557151862819607,18449
ETH-AUD,1557151862819608,18449
LTC-AUD,1557151863257626,7432
LTC-AUD,1557151863376609,7432
LTC-AUD,1557151863376609,7432
ZEC-AUD,1557151863597621,6739
BTC-AUD,1557151486348125,553133
BTC-AUD,1557151486348125,553133
ETH-AUD,1557151486400124,18866
LTC-AUD,1557151486415124,7584
LTC-AUD,1557151486415124,7593
LTC-AUD,1557151486415124,7593
LTC-AUD,1557151486533131,7712
LTC-AUD,1557151910997796,7561
LTC-AUD,1557151910997796,7561
LTC-AUD,1557151910997797,7548
BTC-AUD,1557151911068810,566064
ZEC-AUD,1557151911068816,6261
ETH-AUD,1557151389881744,18491
ETH-AUD,1557151389881745,18491
LTC-AUD,1557151390095746,7750
ZEC-AUD,1557151390095759,6809
LTC-AUD,1557151390095762,7734
LTC-AUD,1557151390168744,7750
LTC-AUD,1557151390168745,7750
LTC-AUD,1557151390168744,7750
LTC-AUD,1557151390168745,7734
ZEC-AUD,1557151390179744,6809
ZEC-AUD,1557151390179744,6809
BTC-AUD,1557151390597747,555490
BTC-AUD,1557151390597751,555474
BTC-AUD,1557151390708755,549398
BTC-AUD,1557151390945748,554372
BTC-AUD,1557151390965747,555490
BTC-AUD,1557151390965747,555490
BTC-AUD,1557151390965747,555474
BTC-AUD,1557151390965748,555474
BTC-AUD,1557151390965749,555474
BTC-AUD,1557151391104748,549398
ZEC-AUD,1557151391211763,6961
LTC-AUD,1557151391211766,7631
BTC-AUD,1557151391324752,549398
ZEC-AUD,1557151391327749,6961
ZEC-AUD,1557151391327749,6961
LTC-AUD,1557151391336749,7631
LTC-AUD,1557151391336749,7631
LTC-AUD,1557151391609764,7739
LTC-AUD,1557151391713752,7637
LTC-AUD,1557151391713756,7650
ETH-AUD,1557151391713758,18488
ETH-AUD,1557151391847751,18488
ETH-AUD,1557151391847751,18488
LTC-AUD,1557151391859753,7739
LTC-AUD,1557151391859754,7739
LTC-AUD,1557151391859753,7739
LTC-AUD,1557151391859754,7637
LTC-AUD,1557151391859754,7637
LTC-AUD,1557151391859754,7650
LTC-AUD,1557151391859754,7650
ETH-AUD,1557151392112772,18815
ETH-AUD,1557151392184753,18815
ZEC-AUD,1557151476983102,6876
LTC-AUD,1557151477208094,7619
ZEC-AUD,1557151477208099,6788
ETH-AUD,1557151477289088,18286
ETH-AUD,1557151477289088,18286
LTC-AUD,1557151477290088,7648
LTC-AUD,1557151477290088,7648
ZEC-AUD,1557151477313088,6876
ZEC-AUD,1557151477313088,6876
ZEC-AUD,1557151477328088,6788
LTC-AUD,1557151477326088,7619
LTC-AUD,1557151477326089,7619
ZEC-AUD,1557151477709101,6791
ZEC-AUD,1557151477822090,6791
LTC-AUD,1557151478055093,7667
BTC-AUD,1557151478488094,551493
BTC-AUD,1557151478948095,551493
BTC-AUD,1557151478948095,551493
LTC-AUD,1557151478991101,7672
LTC-AUD,1557151479166096,7672
LTC-AUD,1557151479209097,7667
LTC-AUD,1557151480168101,7672
LTC-AUD,1557151480196101,7672
LTC-AUD,1557151480403105,7635
BTC-AUD,1557151480496102,551485
BTC-AUD,1557151538938334,553632
ETH-AUD,1557151539638336,18357
BTC-AUD,1557151539748335,553632
ETH-AUD,1557151539901336,18357
ETH-AUD,1557151540324338,18849
LTC-AUD,1557151540346350,7688
LTC-AUD,1557151540473337,7688
LTC-AUD,1557151540473338,7688
ETH-AUD,1557151911068817,18575
BTC-AUD,1557151480896102,551485
ETH-AUD,1557151481227124,18803
BTC-AUD,1557151481500114,552592
BTC-AUD,1557151481748106,552592
BTC-AUD,1557151481748106,552592
LTC-AUD,1557151482002109,7693
LTC-AUD,1557151482110107,7693
BTC-AUD,1557151911225797,566064
BTC-AUD,1557151911225797,566064
ZEC-AUD,1557151767339245,6799
ZEC-AUD,1557151767416231,6799
ZEC-AUD,1557151767416231,6799
BTC-AUD,1557151767454235,564126
LTC-AUD,1557151767735233,7497
BTC-AUD,1557151767840241,563939
ETH-AUD,1557151767840248,18605
ZEC-AUD,1557151767840251,6784
ZEC-AUD,1557151768036233,6784
ZEC-AUD,1557151768036234,6784
ZEC-AUD,1557151768036235,6784
ZEC-AUD,1557151768036239,6756
ZEC-AUD,1557151768036241,6756
BTC-AUD,1557151768035233,563939
BTC-AUD,1557151768035233,563939
ETH-AUD,1557151768054236,18605
ETH-AUD,1557151768054236,18605
BTC-AUD,1557151768165247,558377
BTC-AUD,1557151768165251,558370
LTC-AUD,1557151768342252,7715
BTC-AUD,1557151768434235,558377
BTC-AUD,1557151768434235,558377
BTC-AUD,1557151768434235,558370
LTC-AUD,1557151768616236,7715
ZEC-AUD,1557151768666251,6442
ZEC-AUD,1557151768763236,6442
ZEC-AUD,1557151768763236,6442
LTC-AUD,1557151768844238,7708
LTC-AUD,1557151768844250,7715
BTC-AUD,1557151768844253,564506
BTC-AUD,1557151768903237,564506
